nohup: ignoring input
[run] ours-r2-opp-l08 -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_ours_r2_opp_l08_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.8)
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/843 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (7): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_up.weight, fc.bias, fc.weight
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
step   4500 | loss 0.6982 | mse 0.0006 | kl 22.924386 | act 0.5122 | zero 0.0013 | opp 0.1487 (margin -0.008, anchors 3.6) | lr 2.65e-07
[val] step   4500 | loss 0.0937 | mse 0.0006 | psnr 32.51 dB
step   4550 | loss 1.9003 | mse 0.0006 | kl 24.068699 | act 1.6889 | zero 0.0017 | opp 0.1763 (margin 0.027, anchors 4.3) | lr 2.15e-07
step   4600 | loss 0.6519 | mse 0.0006 | kl 22.025763 | act 0.4810 | zero 0.0022 | opp 0.1331 (margin -0.028, anchors 4.1) | lr 1.70e-07
step   4650 | loss 0.8035 | mse 0.0007 | kl 27.793059 | act 0.5983 | zero 0.0012 | opp 0.1552 (margin 0.003, anchors 4.1) | lr 1.31e-07
step   4700 | loss 0.8908 | mse 0.0006 | kl 26.515084 | act 0.7026 | zero 0.0018 | opp 0.1385 (margin 0.028, anchors 4.5) | lr 9.61e-08
step   4750 | loss 0.8572 | mse 0.0007 | kl 27.929534 | act 0.6651 | zero 0.0015 | opp 0.1381 (margin 0.011, anchors 3.8) | lr 6.68e-08
step   4800 | loss 1.0756 | mse 0.0007 | kl 22.859003 | act 0.9082 | zero 0.0008 | opp 0.1257 (margin 0.020, anchors 4.1) | lr 4.28e-08
step   4850 | loss 0.8617 | mse 0.0006 | kl 18.789978 | act 0.6820 | zero 0.0020 | opp 0.1559 (margin 0.053, anchors 3.8) | lr 2.41e-08
step   4900 | loss 0.6985 | mse 0.0007 | kl 22.888930 | act 0.5115 | zero 0.0025 | opp 0.1501 (margin -0.024, anchors 3.9) | lr 1.07e-08
step   4950 | loss 0.7537 | mse 0.0006 | kl 19.720138 | act 0.5647 | zero 0.0020 | opp 0.1642 (margin 0.013, anchors 4.2) | lr 2.68e-09
step   5000 | loss 0.7854 | mse 0.0008 | kl 27.920345 | act 0.5883 | zero 0.0015 | opp 0.1445 (margin 0.023, anchors 3.8) | lr 0.00e+00
[val] step   5000 | loss 0.0981 | mse 0.0006 | psnr 32.49 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_ours_r2_opp_l08_5k/step_0005000
Training complete.
